Years,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bachelor's degrees conferred (People),9371,,,,,,,,,,12896,,,,,,,,,,15539,,,,,,,,,,27410,,,,,,,,,,37199,,,,,,,,,,48622,,,,,,,,,,122484,,,,,,,,,,186500,,,,,,,,,,432058,,,,,,,,,,392440,,,,,,,,,,792316,839730,,,,,925746,,,,929417,935140,952998,969510,974309,979477,987823,991264,994829,1018755,1051344,1094538,1136553,1165178,1169275,1160134,1164792,1172879,1184406,1202239,1237875,1244171,1291900,1348811,1399542,1439264,1485242,1524092,1563069,1601399,1649919,1716053,1792163,1840381,1870150,1894969,1920750,1956114,1980665,2013086,2038431
White (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.681,0.665,0.655,0.643,0.633,,,,,,
Black (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071,0.07,0.07,0.071,0.068,,,,,,
Hispanic (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.074,0.078,0.084,0.09,,,,,,
Asian or Pacific Islander (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127,0.126,0.124,0.125,0.124,,,,,,
Nonresident of the US (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044,0.047,0.051,0.053,0.056,,,,,,
Male (People),0.853,,,,,,,,,,0.8073,,,,,,,,,,0.8274,,,,,,,,,,0.8089,,,,,,,,,,0.7732,,,,,,,,,,0.6577,,,,,,,,,,0.601,,,,,,,,,,0.5874,,,,,,,,,,0.7611,,,,,,,,,,0.6474,,,,,,,,,,0.5693,,,,,,,,,,0.509578585,0.502473426,0.496710381,0.494208415,0.495036995,0.492638418,0.491913025,0.485019127,0.479683443,0.474447733,0.46768327,0.460509366,0.458237319,0.457338707,0.455343696,0.453508819,0.448538452,0.443792582,0.439001491,0.432493872,0.428449561,0.427465356,0.42558712,0.425009879,0.425442752,0.425912133,0.424577274,0.426201305,0.427318308,0.428014505,0.428299813505996,0.427818371577102,0.427289258845317,0.42785053747023,0.428791808143732,0.428868757219775,0.427825588962645,0.427388690025223,0.426613788803256,0.426016076809436,0.422512707077159
Female (People),0.147,,,,,,,,,,0.1927,,,,,,,,,,0.1726,,,,,,,,,,0.1911,,,,,,,,,,0.2268,,,,,,,,,,0.3423,,,,,,,,,,0.399,,,,,,,,,,0.4126,,,,,,,,,,0.2389,,,,,,,,,,0.3526,,,,,,,,,,0.4307,,,,,,,,,,0.490421415,0.497526574,0.503289619,0.505791585,0.504963005,0.507361582,0.508086975,0.514980873,0.520316557,0.525552267,0.53231673,0.539490634,0.541762681,0.542661293,0.544656304,0.546491181,0.551461548,0.556207418,0.560998509,0.567506128,0.571550439,0.572534644,0.57441288,0.574990121,0.574557248,0.574087867,0.575422726,0.573798695,0.572681692,0.571985495,0.571700186494004,0.572181628422898,0.572710741154683,0.57214946252977,0.571208191856268,0.57131242780225,0.572174411037355,0.572611309974777,0.573386211196744,0.573983923190564,0.577487292922841
Humanities (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.170946614,,,,,0.16282652,,,,,0.143442693,,,,,0.134529162,,,,,0.157587037,,,,,0.166041662,,,,,0.172088081,,,,,0.176193721,,0.17563844,0.173843239,0.170345332,0.168086883,0.164707116,0.168086883,0.15602973,0.148264167,0.142919692828322,0.138504708825764,0.135586280365433,0.134117469397731,0.132998860398022
Social and Behavioral Sciences (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.230444309,,,,,0.190845005,,,,,0.15140086,,,,,0.136125601,,,,,0.167890014,,,,,0.171614331,,,,,0.162100708,,,,,0.168069038,,0.166307437,0.164091577,0.163642579,0.162043363,0.160494888,0.162043363,0.155305189,0.150157602,0.145077704021866,0.141073577511331,0.139548081073781,0.13771294420606,0.13791587745673
